rank,academic_unit,location,university,PhDCountry
86,                                                                                       ,"St. Louis, Missouri USA              ",Federal Reserve Bank of St. Louis,United States
87,                                                                                       ,"New York City, New York USA          ",Federal Reserve Bank of New York,United States
88,Division of Social Sciences                                                            ,"Pasadena, California USA             ",California Institute of Technology,United States
88,Division of Social Sciences                                                            ,"Pasadena, California USA             ",CalTech,United States
89,Department of Economics                                                                ,"London, Canada                       ",University of Western Ontario,Canada
90,Economics Group                                                                        ,"Oxford, United Kingdom               ","Nuffield College, Oxford University",United Kingdom
91,Suntory and Toyota International Centres for Economics and Related Disciplines STICERD ,"London, United Kingdom               ","London School of Economics and Political Science LSE, University of London",United Kingdom
91,Department of Economics                                                                ,"Ithaca, New York USA                 ",Cornell University,United States
92,Research Program in Development Studies                                                ,"Princeton, New Jersey USA            ","Woodrow Wilson School of Public and International Affairs, Princeton University",United States
92,Volkswirtschaftliche Fakultät                                                          ,"München, Germany                     ",Ludwig-Maximilians-Universität,Germany
92,Volkswirtschaftliche Fakultät                                                          ,"München, Germany                     ",Munich,Germany
93,Department of Economics                                                                ,"Baltimore, Maryland USA              ",Johns Hopkins University,United States
94,                                                                                       ,"Paris, France                        ",Organisation de Coopération et de Développement Économiques OCDE,France
95,Department of Economics                                                                ,"Ames, Iowa USA                       ",Iowa State University,United States
96,Department of Economics                                                                ,"Columbus, Ohio USA                   ",Ohio State University,United States
97,School of Industrial & Labor Relations                                                 ,"Ithaca, New York USA                 ",Cornell University,United States
98,Economics Department                                                                   ,"Hanover, New Hampshire USA           ",Dartmouth College,United States
99,Department of Economics                                                                ,"Storrs, Connecticut USA              ",University of Connecticut,United States
100,Center for Economic Policy Studies                                                     ,"Princeton, New Jersey USA            ","Department of Economics, Princeton University",United States
100,Centre de Recerca en Economia Internacional CREI                                       ,"Barcelona, Spain                     ","Departament d'Economia i Empresa, Universitat Pompeu Fabra",Spain
100,Department of Economics                                                                ,"Tallahassee, Florida USA             ",Florida State University,United States
101,Finance Department                                                                     ,"New York City, New York USA          ","Stern School of Business, New York University",United States
101,Economic Research                                                                      ,"Cleveland, Ohio USA                  ",Federal Reserve Bank of Cleveland,United States
101,Faculteit der Economische Wetenschappen                                                ,"Rotterdam, Netherlands               ",Erasmus Universiteit,Netherlands
102,                                                                                       ,"Boston, Massachusetts USA            ",Federal Reserve Bank of Boston,United States
103,European Central Bank                                                                  ,"Frankfurt am Main, Germany           ",European Community,Germany
104,Harvard Institute of Economic Research HIER                                            ,"Cambridge, Massachusetts USA         ","Department of Economics, Harvard University",United States
104,School of Management                                                                   ,"New Haven, Connecticut USA           ",Yale University,United States
105,Department of Economics                                                                ,"Urbana-Champaign, Illinois USA       ",University of Illinois,United States
105,Department of Economics                                                                ,"Urbana-Champaign, Illinois USA       ",Illinois at Urbana-Champaign,United States
106,Faculteit der Economische Wetenschappen en Bedrijfskunde                               ,"Amsterdam, Netherlands               ",Vrije Universiteit,Netherlands
107,Department of Finance and Business Economics                                           ,"Los Angeles, California USA          ","Marshall School of Business, University of Southern California",United States
107,Department of Finance                                                                  ,"Evanston, Illinois USA               ","Kellogg Graduate School of Management, Northwestern University",United States
107,Global Economics & Management Group                                                    ,"Los Angeles, California USA          ","Anderson Graduate School of Management, University of California",United States
107,Economics Group                                                                        ,"Chicago, Illinois USA                ","Graduate School of Business, University of Chicago",United States
107,Marshall School of Business                                                            ,"Los Angeles, California USA          ",University of Southern California,United States
108,Finance Unit                                                                           ,"Cambridge, Massachusetts USA         ","Harvard Business School, Harvard University",United States
108,Department of Economics                                                                ,"Atlanta, Georgia USA                 ",Emory University,United States
